,Date,User,Tweet,Translation
11,2022-08-08 08:59:26+00:00,MagazineR_,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/0oYaZyl4uh","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/0oyazyl4uh"
12,2022-08-08 05:59:19+00:00,MagazineR_,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/O0TdL2nEsH","""Low Carbon Economy Participation"" BNK Finance, Declaration of Carbon Neutral by 2050 https://t.co/o0tdl2nSH"
13,2022-08-08 02:32:02+00:00,klri_bot,[연구보고서] 모빌리티 배터리 사후관리 규제개선 방안 연구: Ⅰ. 배경 및 필요성▶ 우리나라는 지금까지 기후변화 문제에 대응하기 위하여 노력○ 2020년 10월 ‘2050년 까지 탄소중립을 달성’하겠다고 선언한 이후 2020년 말 제1차 NDC(Nationally Determinde… https://t.co/rkNXS8187M,"[Research Report] Mobility Battery Follow -up Improvement Research Research: ⅰ. Background and Needs ▶ Korea's efforts to cope with climate change so far ○ After declaring that they will achieve carbon neutral by 2050 in October 2020, the 1st NDC (National Neterminde… https: // T .co/rknxs8187m"
14,2022-08-07 14:50:42+00:00,Das_Apfel_G,그래이트 배리어 산호초가 회복 조짐을 보임에 따라 호주 정부는 2030년까지 탄소배출을 43%(2005년 수준)으로 줄이는 법안을 통과시키려 합니다. 이 법안은 2050년까지 탄소 중립을 실현한단 목표를 담고 있습니다.  https://t.co/vGoHFtdYRt,"As the Great Barrier Coral reefs show signs of recovery, the Australian government tries to pass a bill that reduces carbon emissions to 43%(2005) by 2030. The bill contains the goal of realizing carbon neutrality by 2050. https://t.co/vgohftDyrt"
15,2022-08-07 08:18:02+00:00,baguseog10,"[newstomorrow] 예산군새마을회, ‘2050 탄소중립 캠페인’ 개최 https://t.co/3lI2yz3Ogr","[Newstomorrow] Budget Military Saemaul Association, '2050 Carbon Neutral Campaign' https://t.co/3li2yz3og"
16,2022-08-05 21:25:25+00:00,M6KIoLEVpDQHXnc,"[newstomorrow] 예산군새마을회, ‘2050 탄소중립 캠페인’ 개최 https://t.co/wXx7aY9ux9","[NewStomorrow] Budget Military Saemaul Association, '2050 Carbon Neutral Campaign' https://t.co/wxx7ay9UX9"
17,2022-08-05 13:09:35+00:00,dasom_la,고기가 최고라던 아이들도 채식 급식 맛있네요(인천 창영초등학교 2050년 탄소중립 실천) https://t.co/CGLQ84wvnC,Children with the best meat are also delicious for vegetarian meals (Incheon Changyoung Elementary School 2050 carbon neutral) https://t.co/cglq84WVNC
18,2022-08-05 10:03:14+00:00,sunflowerrrr778,"포스코, 수소환원제철 시험설비 설계 착수···2050 탄소중립 첫발 https://t.co/aEyubA50Ot uSO68","POSCO, Beginning with the Steel Steel Steel Testing Facility Design ··· 2050 Carbon Neutral First Start https://t.co/aeyuba50ot uso68"
19,2022-08-05 07:36:01+00:00,hotdealenjoy,"포스코, 수소환원제철 플랜트로 ‘2050 탄소중립’ 박차 https://t.co/YTxjc3hA9L YuGm4","POSCO, '2050 Carbon Neutral' as POSCO, https://t.co/ytxjc3ha9l yugm4"
20,2022-08-05 06:27:05+00:00,kecotwt,"#한국환경공단 #미로 #탈출 #이벤트 당첨자 발표

자세한 내용 보러 가기 ▶ https://t.co/aJYVsVzlSh

푸루와 탄소중립 실현 #가보자고 ! 👊
2050 탄소중립 실현을 위해 준비한 친환경 미로 탈출 이벤트!
그 대망의 당첨자를 발표합니다 🥰 https://t.co/nfzMpIqq3P","#Korea Environment Corporation

Go to see more ▶ https://t.co/ajyvsvzlsh

Furu and carbon neutral realization #Let's go! 👊
2050 Eco -friendly Maze Escape Event prepared to realize carbon neutral!
The long -awaited winner 🥰 https://t.co/nfzmpiq3p"
21,2022-08-05 04:33:13+00:00,sunflowerrrr778,"포스코, 수소환원제철 플랜트로 ‘2050 탄소중립’ 박차 https://t.co/VNP9LdTws8 1YVuI","POSCO, '2050 Carbon Neutral' as POSCO HTTPS://t.co/VNP9LTWS8 1VUI"
22,2022-08-04 19:42:52+00:00,naeagara,"포스코, 수소환원제철 데모플랜트 상용화 첫발
英 프라이메탈스와 기술협력
파이넥스 기술 기반 설계 착수
단계적 적용…2050년 탄소중립
2030년까지 수소환원제철 상용화가능성 검증
이후 생산 최적화를 거쳐 고로를 단계적으로 
하이렉스 기반 설비로 교체…2050년 탄소중립
https://t.co/0orin86wqh https://t.co/4zupZp1njV","POSCO's first step
Technology Cooperation with Briemetals
Finex technology -based design start
Stage Application… Carbon neutral in 2050
Verification of the possibility of commercialization of hydrogen welcome sources by 2030
Afterwards, the blast furnace after the production optimization
Replace with High Reex -based facility… Carbon neutral in 2050
https://t.co/0orin86wqh https://t.co/4zupzp1njv"
23,2022-08-04 11:01:16+00:00,namwon4u,"남원시의회, ‘탄소중립 그린도시 만들기 연구회’ 발족 
https://t.co/FOcch7ngnQ
-2050 남원시 탄소중립 실현을 위한 방안 마련에 최선-   전북 남원시의회 ‘탄소중립 그린도시 만들기 연구회’(대표의원 한명숙)는 4일 시의회 3층 경제산업위원회 회의실에서 연구회 운영일정 및 연구방안 논의를 위한 https://t.co/AwbITGuoeo","Namwon City Council launched the 'Carbon Neutral Green City Making Research Society'
https://t.co/focch7ngnq
-2050 The best to prepare a plan for the realization of carbon neutrality-Carbon neutral Green City Creating Research Society (CEO Han Myung-sook), Jeonbuk Namwon City Council (CEO Han Myung-sook). : //t.co/awbitguoeo"
24,2022-08-04 10:56:40+00:00,namwon4u,"남원시의회, ‘탄소중립 그린도시 만들기 연구회’ 발족 
https://t.co/FOcch7ngnQ
-2050 남원시 탄소중립 실현을 위한 방안 마련에 최선-   전북 남원시의회 ‘탄소중립 그린도시 만들기 연구회’(대표의원 한명숙)는 4일 시의회 3층 경제산업위원회 회의실에서 연구회 운영일정 및 연구방안 논의를 위한 https://t.co/aUWmwjydEe","Namwon City Council launched the 'Carbon Neutral Green City Making Research Society'
https://t.co/focch7ngnq
-2050 The best to prepare a plan for the realization of carbon neutrality-Carbon neutral Green City Creating Research Society (CEO Han Myung-sook), Jeonbuk Namwon City Council (CEO Han Myung-sook). : //t.co/auwmwjydee"
25,2022-08-04 06:37:32+00:00,erissue,"포스코, 2050 탄소중립 대장정 ‘첫 발’

https://t.co/icdiVnUO3G","POSCO, 2050 Carbon Neutral Leadership

https://t.co/icdivnuo3g"
26,2022-08-04 05:02:55+00:00,choeseuso,"포스코, 수소환원제철 플랜트로 ‘2050 탄소중립’ 박차  https://t.co/Ru08Ajc3yT","POSCO, '2050 Carbon Neutral' as POSCO https://t.co/ru08ajc3yt"
27,2022-08-04 02:50:55+00:00,8282_newsboza,"✒️ 사회

포스코, 영국 플랜트 건설사와 손잡고 '2050 탄소중립 로드맵' 첫발

91771-268988
https://t.co/bxcrAYnlBr","✒️ Society

POSCO, the first foot of '2050 Carbon Neutral Roadmap'

91771-268988
https://t.co/bxcraynlbr"
28,2022-08-04 02:48:16+00:00,womancs_1221,포스코 야심 ‘용광로 없앤다’...하이렉스(HyREX)' 기술로 2050년 탄소중립 달성 https://t.co/xjZBkkFHE5,POSCO's ambitious ‘Remove the furnace’ ... Hyrex achieves carbon neutral in 2050 https://t.co/xjzbkkfhe5
29,2022-08-04 02:02:48+00:00,choeseuso,"포스코, 수소환원제철 시험설비 설계 착수···2050 탄소중립 첫발  https://t.co/OsT5fLnuYY",POSCO starts designing a water -to -water season test facility design ··· 2050 Carbon Neutral First First step https://t.co/OST5FLNUYY
30,2022-08-04 01:56:04+00:00,MagazineR_,"포스코, 수소환원제철 시험설비 설계 착수···2050 탄소중립 첫발 https://t.co/h9QfRMaddN",POSCO starts designing a water -of -season test facility design ··· 2050 Carbon Neutral First Start https://t.co/H9QFRMADN
31,2022-08-01 04:35:48+00:00,BreakNewsCom,"고양시, 2050 탄소중립 사회비전 수립 위한 첫 발걸음  / 브레이크뉴스  https://t.co/9QopCz3sbI","Goyang City, 2050 Carbon Neutral Social Vision The first step/Brake News https://t.co/9QOPCZ3SBI"
32,2022-08-01 03:50:15+00:00,hyechulson,"고양특례시, 2050 탄소중립 사회비전 수립 위한 첫 발걸음

https://t.co/Ebj59ORoe0 https://t.co/BzCE5wxKq9","Goyang Special Cases, the first step to establish 2050 carbon neutral society vision

https://t.co/ebj59oroe0 https://t.co/bzce5wxkq9"
33,2022-08-01 03:15:44+00:00,alwaysb19,"[고양시] 고양특례시, 2050 탄소중립 사회비전 수립 위한 첫 발걸음  / 보도뉴스  https://t.co/IMIY854iWm","[Goyang City] Goyang Special Cases, 2050 Carbon Neutral Social Vision Establishment of the first step/Press News https://t.co/imiy854iwm"
34,2022-08-01 02:50:59+00:00,gksh0691,"고양특례시, 2050 탄소중립 사회비전 수립 위한 첫 발걸음 https://t.co/FQniJtmBc2","Goyang Special Cases, 2050 Carbon Neutral Social Vision Https://t.co/FQNIJTMBC2"
35,2022-07-30 22:08:37+00:00,chamchiricea,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/OMfmE1e54A SN4ke","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/omfme1E54a SN4KE"
36,2022-07-30 11:39:33+00:00,perfectcrosss,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/oE0CwskfS9 izbAw","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/oe0cwskfs9 IZBAW"
37,2022-07-30 10:48:02+00:00,hotdealenjoy,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/VaSwaNMpZc vLlNP","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/vaswanMpzc vllnp"
38,2022-07-30 10:12:42+00:00,xvcmklei21,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/BisFYoNZkv AbxgV","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/bisfyonzkv ABXGV"
39,2022-07-30 09:43:37+00:00,KVadosUR29LMMAf,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/XTnpJN9mxk yqksP","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/XTNPJN9MXK YQKSP"
40,2022-07-30 09:39:21+00:00,partrascheu,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/w2hFd1uqki 75IZe","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/w2hfd1uqki 75IEE"
41,2022-07-30 08:41:19+00:00,sweetmangouuu,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/at6hMyRERL CWFij","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/at6HMyrerl CWFIJ"
42,2022-07-30 07:37:11+00:00,sunflowerrrr778,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/ebSUn2megq KhbOU","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/Ebsun2megq khbou"
43,2022-07-30 00:53:43+00:00,Heeekary,"SBS 뉴스(@SBS8news) 유럽을 집단 자살로 몰고갈 수 있는 재난은? #SBS뉴스 https://t.co/4UIrYIlH4i 

네 기후위기 이야기입니다. 2050년 혹은 2040년이면 돌이킬 수 없다는 게 전문가들의 중론입니다. 탄소중립을 지키는 가장 좋은 방법이 개인 습관을 바꾸는 거라는 공익광고 따위 개나 줘버려","SBS News (@sbs8news) What is the disaster that can drive Europe to a group suicide? #SBS News https://t.co/4uiryilh4i

Your climate crisis story. Experts say that it cannot be reversed in 2050 or 2040. The best way to protect carbon neutrality is to give a dog that changes personal habits."
44,2022-07-29 23:23:33+00:00,perfectcrosss,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/oE0CwsBiU9 Kf2ay","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/oe0cwsbiu9 kf2ay"
45,2022-07-29 22:34:02+00:00,hotdealenjoy,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/VaSwaO3t1c czvfY","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/vaswao3t1c CZVFY"
46,2022-07-29 21:23:22+00:00,partrascheu,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/w2hFd1uqki JB9op","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/w2hfd1uqki JB9OP"
47,2022-07-29 20:23:18+00:00,sweetmangouuu,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/at6hMz9O5T Rf60v","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/at6hmz9o5t RF60V"
48,2022-07-29 19:19:12+00:00,sunflowerrrr778,"[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발 https://t.co/ebSUn2megq pDtKw","[2050 Carbon Neutral] Farming Farming Lung Vinyl, Recycling ... Environmental Corporation, Recycling Technology Development https://t.co/ebsun2megq PDTKW"
49,2022-07-29 18:37:01+00:00,khs1029ha,"[경제]
[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발
233
https://t.co/XbK9EVUlyI","[economy]
[2050 Carbon Neutral] Someway farming waste vinyl, recycling ... Environmental Corporation, recycling technology development
233
https://t.co/xbk9Evuryi"
50,2022-07-29 12:30:09+00:00,seahrin2,"[경제]
[2050 탄소중립] 골칫거리 영농 폐비닐, 재활용한다...환경공단, 재활용 기술 개발
246
https://t.co/Qr9HvEuERi","[economy]
[2050 Carbon Neutral] Someway farming waste vinyl, recycling ... Environmental Corporation, recycling technology development
246
https://t.co/QR9HVEUERI"
51,2022-07-29 07:54:06+00:00,kecotwt,"푸루가 보장하는 환경부적🎟️

네잎클로버 푸루🍀의 환경부적으로
2050 탄소중립을 실현해보아요!

환경부적의 효과 UP! 시키려면?
하나. 다회용기를 사용해요🍽️
둘. 대중교통을 이용해요🚊
셋. 친환경 소비습관을 길러요🌳

우리 모두 함께해요~환경사랑!💚

#한국환경공단 #환경공단 #환경 #환경보호 https://t.co/KHtFZoNmT9","Environmental amulet that Puru guarantees 🎟️

Four -leaf clover Puru 🍀
Let's realize 2050 carbon neutrality!

Effect of environmental units up! How to do it?
one. I use a multi -time container 🍽️
two. Using public transportation 🚊
three. Cultivate eco -friendly consumption habits

We are all together ~ Environment Love! 💚

#Korea Environment Corporation #Environmental Corporation"
52,2022-07-29 02:35:52+00:00,BreakNewsCom,"가평군농업인단체협의회·가평클린농업대학 동문회, 2050 탄소중립 실천 및 자라섬 정비 실시  / 브레이크뉴스  https://t.co/JtxFwC0fgg","Gapyeong -gun Farmers' Organization Council, Gapyeong Clean Agricultural University Alumni Association, 2050 Carbon Neutral Practice and Zara Island Maintenance/Brake News https://t.co/jtxfwc0fgg"
53,2022-07-29 00:15:58+00:00,ktopgang,"2ㅡ
2030년까지 온실가스 배출량을 2018년 대비 40% 감축하고 2050년에는 탄소중립을 달성하겠다고 한 약속을 지킬 수 있다고 믿게 될까?
.....
꿈은 이루어진다?
살아가다보면 안 이루어지는 꿈도 부기수
내가 보기엔 용산과 여의도
하는 행우지보면 안바도 비됴.
손자 팔순 잔치날 기다리는게
차라리","2 ㅡ
Will you believe that by 2030, you can reduce greenhouse gas emissions by 40% compared to 2018 and keep your promise to achieve carbon neutral by 2050?
.....
Dream comes true?
If you live in your life, the dreams that don't come true
To me, Yongsan and Yeouido
If you do it, you don't have to do it.
Waiting for grandchildren's eight -order feast
rather"
54,2022-07-28 02:58:39+00:00,mevpr,"재생에너지인 소수력 발전을 이용해 온실가스 배출 없이 그린수소를 만듭니다. 그린수소 실증사업 구축으로 2030년 국가 온실가스감축목표와 2050 탄소중립 목표를 달성하겠습니다.

더 자세한 내용은 아래 링크를 참조해주세요.
👉https://t.co/2qTapzgrQG

#환경부 #소수력발전 #온실가스 #탄소중립 https://t.co/8QCaCjQ132","Use the hydrophobic power generation, which is a renewable energy, to create a green hydrogen without greenhouse gas emissions. By establishing the green hydrogen demonstration project, we will achieve the national greenhouse reduction goal and 2050 carbon neutral goals in 2030.

Please refer to the link below for more details.
👉https: //t.co/2QTAPZGRQG

#Ministry of Environment #Chronic Development #GHG #Carbon Neutral https://t.co/8QCACJQ132"
55,2022-07-27 06:57:34+00:00,Mylife_KTV,"탄소중립 지원센터가 문을 엽니다.그린수소 실증사업 구축으로 2030 국가 온실가스감축목표와 2050 탄소중립 목표를 달성하겠습니다. 

*출처: 대한민국 환경부

#환경부 #탄소중립 #탄소중립지원센터 #온실가스감축 #2050탄소중립 https://t.co/nOpitcmaZi","The Carbon Neutral Support Center opens the door. We will achieve the 2030 national greenhouse reduction goal and 2050 carbon neutral goals by establishing the green hydrogen demonstration project.

*Source: Ministry of Environment of Korea

#Addown of the Ministry of Environment #Carbon Neutral #Carbon Neutral Support Center"
56,2022-07-26 02:11:17+00:00,wajangchang,탄소중립을 포기하든지 원전을 확대하든지..=&gt;IEA “2050 넷제로 달성 위해 원전 2배 증설 필요” https://t.co/wdAYWmnN1v,Whether you give up carbon neutrality or expand the nuclear power plant .. = & gt; IEA
57,2022-07-22 05:09:12+00:00,kecotwt,"#한국환경공단 #미로 #탈출 #이벤트

푸루와 탄소중립 실현 가보자고! 👊
2050 탄소중립 실현을 위해 친환경 미로 탈출 이벤트를 준비했어요!

추첨을 통해 시원한 아이스 바닐라 카페라떼 (R) 🧊☕을 선물로 드립니다!

인스타그램 이벤트 바로가기&gt;
https://t.co/lOa3erfpC3 https://t.co/E8e4D9dbf4","#Korea Environment Corporation

Let's see Puru and Carbon neutral! 👊
We have prepared an eco -friendly maze escape event to realize 2050 carbon neutral!

The lottery will give you a cool ice vanilla cafe latte (R) as a gift!

Go to Instagram Event & GT;
https://t.co/loa3erfpc3 https://t.co/E8e4d9dbf4"
58,2022-07-21 11:08:59+00:00,SgP3pCeLCwvsIhG,2050년에야 벌어질 거라고 예측한 일들이 지금 현재 일어나고 있다. 2050년 탄소중립은 너무 늦다. 지금 당장 시작해야 목숨을 건진다. https://t.co/vLxoXXRmLM,The things that predicted that it will happen in 2050 is now happening. Carbon neutrality in 2050 is too late. You have to start right now to save your life. https://t.co/vlxoxxrmlm
59,2022-07-21 00:11:56+00:00,Blechtrommel5,지자체에 문의해서 태양광 발전 설비를 설치하시면 돈을 절약할 수 있다. 탄소중립이 실현된다. 탄소중립법은 2021년 9월에 제정되고 공포. 2022년 3월25일부터 시행. 2050년 탄소중립실현법. 환경영향평가법 대상 사업자는 기후변화영향평가를 받는다. 세종수도이전으로 세종을 녹색산업허브로 삼자. https://t.co/gR8CYkk7G3,"You can save money by contacting the local government and installing a solar power plant. Carbon neutrality is realized. Carbon neutral law was enacted and promulgated in September 2021. Enforcement from March 25, 2022. How to realize carbon neutral in 2050. Environmental impact assessment law operators are subject to climate change impact assessment. Let's make Sejong as a green industry hub. https://t.co/gr8cykk7g3"
60,2022-07-20 09:20:47+00:00,tiragon,2050 탄소중립 캠페인 및 EM을 활용한 불광천 하천정화 봉사활동 자원봉사자 모집 https://t.co/ZCmvuErkoS,2050 Bulgwangcheon River Purification Volunteer Volunteer Volunteer Recruitment https://t.co/ZCMVUERKOS
61,2022-07-20 06:42:33+00:00,Mylife_KTV,"2050 #탄소중립, 디지털과 함께! 😄

과학기술정보통신부는 19일,
제2차 디지털 탄소중립협의회를 열고, 
주요 디지털 기업 및 협·단체들과 함께 
「2050 디지털 탄소중립 공동선언문」을 
발표하였습니다.

자세한 내용은 ▶ https://t.co/FpeAFafCdE

*출처: 대한민국 과학기술정보통신부 https://t.co/AvqBgyvYv6","2050 #Carbon neutral, with digital! 😄

The Ministry of Science and Technology Information and Communication
Holding the 2nd Digital Carbon Neutral Council,
With major digital companies and narrowing and organizations
「2050 Digital Carbon Neutral Joint Declaration」
We announced.

For more information, ▶ https://t.co/fpeafafcde

*Source: Korea Science and Technology Information and Communications Ministry https://t.co/avqbgyvyv6"
62,2022-07-20 01:31:13+00:00,no1nowon,"오늘 오전  &lt;더좋은미래&gt;에서 “2050탄소중립과 기후위기 대응을 위해 민주당이 나아가야 할 방향”에 대해 발제를 했습니다. 

저는 오로지 원전에만 집중하며 정작 2030 재생에너지 목표는 대폭 하향하는 윤석열 정부의 행보가 얼마나 심각한 문제를 야기할 것인지에 대해 이야기 했습니다. https://t.co/8N7iXTDkv7","This morning & lt; better future & gt; we gave a presentation on the direction of the Democratic Party to move forward to respond to 2050 carbon neutral and climate crisis.

I talked about how serious the Yoon Seok -yeol administration, which focuses only on nuclear power plants and the 2030 renewable energy goal, will cause a serious problem. https://t.co/8N7IXTDKV7"
63,2022-07-20 01:15:27+00:00,leesoo1001,"관악구,‘2050 탄소중립 청정관악 영상공모전’ https://t.co/jga5Z7MOb4","Gwanak -gu, ‘2050 Carbon Neutral Cleaning Video Contest’ https://t.co/jga5z7mob4"
64,2022-07-19 08:55:31+00:00,withmsit,"2050 #탄소중립, 디지털과 함께! 😄

과학기술정보통신부는 19일,
제2차 디지털 탄소중립협의회를 열고, 
주요 디지털 기업 및 협·단체들과 함께 
「2050 디지털 탄소중립 공동선언문」을 
발표하였습니다.

자세한 내용은 ▶ https://t.co/X1Urd5EGLw https://t.co/E9bCSdhelB","2050 #Carbon neutral, with digital! 😄

The Ministry of Science and Technology Information and Communication
Holding the 2nd Digital Carbon Neutral Council,
With major digital companies and narrowing and organizations
「2050 Digital Carbon Neutral Joint Declaration」
We announced.

For more information, ▶ https://t.co/x1URD5EGLW https://t.co/E9bcsdhelb"
65,2022-07-19 04:26:59+00:00,hongeo98603,"정부와 기업의 노력도 필요하지만 거기에 개개인의 노력이 더해저야만 2050 탄소중립 달성이 가능하다는 것을 잊지 말아야겠습니다.

#탄소중립 #2050탄소중립 #에너지의날 #대학생서포터즈 
#환경 https://t.co/wNEbPQnwew","It is also necessary to forget that the government and corporate efforts are needed, but it is possible to achieve 2050 carbon neutral only if the individual efforts are added.

#Carbon Neutral #2050 Carbon Neutral #Energy Day #College Student Supporters
#Environment https://t.co/wnebpqnwewewe"
66,2022-07-19 04:21:06+00:00,hongeo98603,"정부와 기업이 아닌 일반인들은 어떻게 여기에 동참할 수 있을까요?
바로 에너지시민연대 홈페이지에서 운영중인 '월화수목금토일 착한에너지' 를 활용하시면 됩니다.
메인 홈페이지에서 2050 탄소중립 국민실천이 답이다 배너를 클릭하시면 아래 창이 뜹니다.
#에너지의날 #2050탄소중립 
#착한에너지 https://t.co/3F8oq3pB8Q","How can the general public, not the government and business, can join here?
You can use 'Wolhwa Togeum Friendly Energy', which is operated on the Energy Citizens' Solidarity website.
The 2050 carbon neutral national practice is answered on the main homepage.
#Energy Day #2050 Carbon Neutral
#Good energy https://t.co/3F8OQ3PB8Q"
